Frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32
2024-05-08 12:03:28,"-0.000, -0.000, 0.000","-0.112, -0.255, 2.512","-0.099, -0.261, 2.507","-0.086, -0.261, 2.501","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.061, -0.255, 2.507","-0.000, -0.000, 0.000","-0.101, -0.194, 2.550","-0.000, -0.000, 0.000","0.083, -0.056, 2.561","-0.000, -0.000, 0.000","0.107, 0.190, 2.517","-0.390, 0.047, 2.470","0.114, 0.384, 2.517","-0.593, 0.042, 2.528","0.115, 0.466, 2.539","-0.000, 0.000, 0.000","0.094, 0.456, 2.523","-0.000, 0.000, 0.000","0.088, 0.435, 2.512","-0.642, 0.029, 2.567","-0.003, 0.438, 2.496","-0.178, 0.431, 2.528","0.030, 0.769, 2.572","-0.194, 0.767, 2.567","0.128, 1.193, 2.844","-0.258, 1.188, 2.831","0.098, 1.240, 2.817","-0.243, 1.190, 2.752","0.216, 1.197, 2.583","-0.230, 1.216, 2.528"
2024-05-08 12:03:29,"-0.000, -0.000, 0.000","-0.119, -0.256, 2.517","-0.099, -0.261, 2.507","-0.086, -0.261, 2.507","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.061, -0.255, 2.507","-0.000, -0.000, 0.000","-0.101, -0.194, 2.550","-0.000, -0.000, 0.000","0.082, -0.056, 2.545","-0.230, -0.062, 2.528","0.107, 0.191, 2.523","-0.395, 0.047, 2.465","0.108, 0.392, 2.528","-0.605, 0.049, 2.550","0.115, 0.474, 2.550","-0.000, 0.000, 0.000","0.095, 0.473, 2.545","-0.000, 0.000, 0.000","0.088, 0.445, 2.534","-0.000, 0.000, 0.000","-0.003, 0.438, 2.496","-0.177, 0.429, 2.517","0.037, 0.781, 2.589","-0.193, 0.775, 2.550","0.130, 1.205, 2.872","-0.255, 1.184, 2.804","0.099, 1.249, 2.837","-0.243, 1.187, 2.745","0.217, 1.202, 2.595","-0.229, 1.211, 2.517"
2024-05-08 12:03:29,"-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.106, -0.262, 2.512","-0.086, -0.267, 2.501","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.061, -0.256, 2.517","-0.000, -0.000, 0.000","-0.100, -0.199, 2.534","-0.000, -0.000, 0.000","0.083, -0.057, 2.567","-0.223, -0.056, 2.523","0.100, 0.190, 2.512","-0.397, 0.047, 2.475","0.108, 0.392, 2.528","-0.619, 0.070, 2.635","0.116, 0.483, 2.561","-0.000, 0.000, 0.000","0.095, 0.481, 2.550","-0.000, 0.000, 0.000","0.089, 0.454, 2.550","-0.649, 0.065, 2.677","-0.003, 0.438, 2.496","-0.177, 0.429, 2.517","0.037, 0.782, 2.595","-0.199, 0.775, 2.550","0.129, 1.204, 2.851","-0.255, 1.184, 2.804","0.098, 1.237, 2.810","-0.242, 1.191, 2.739","0.217, 1.202, 2.595","-0.229, 1.211, 2.517"
2024-05-08 12:03:29,"-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.106, -0.268, 2.512","-0.093, -0.267, 2.501","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.061, -0.256, 2.517","-0.000, -0.000, 0.000","-0.100, -0.199, 2.534","-0.000, -0.000, 0.000","0.082, -0.056, 2.539","-0.223, -0.056, 2.528","0.100, 0.189, 2.501","-0.398, 0.047, 2.486","0.107, 0.390, 2.512","-0.603, 0.069, 2.567","0.115, 0.482, 2.556","-0.000, 0.000, 0.000","0.102, 0.482, 2.556","-0.000, 0.000, 0.000","0.088, 0.452, 2.534","-0.636, 0.056, 2.595","0.004, 0.431, 2.491","-0.170, 0.426, 2.501","0.037, 0.777, 2.578","-0.201, 0.780, 2.567","0.129, 1.207, 2.858","-0.253, 1.175, 2.784","0.098, 1.243, 2.824","-0.249, 1.191, 2.739","0.217, 1.202, 2.595","-0.230, 1.214, 2.523"
2024-05-08 12:03:29,"-0.000, -0.000, 0.000","-0.119, -0.262, 2.517","-0.106, -0.268, 2.507","-0.093, -0.267, 2.501","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.061, -0.255, 2.512","-0.000, -0.000, 0.000","-0.101, -0.201, 2.556","-0.000, -0.000, 0.000","0.083, -0.057, 2.578","-0.222, -0.055, 2.517","0.101, 0.190, 2.517","-0.399, 0.047, 2.491","0.100, 0.390, 2.512","-0.605, 0.069, 2.578","0.115, 0.481, 2.550","-0.000, 0.000, 0.000","0.102, 0.480, 2.545","-0.000, 0.000, 0.000","0.088, 0.452, 2.534","-0.639, 0.056, 2.606","0.004, 0.431, 2.491","-0.170, 0.428, 2.507","0.037, 0.779, 2.583","-0.201, 0.780, 2.567","0.129, 1.209, 2.865","-0.266, 1.201, 2.844","0.099, 1.246, 2.831","-0.252, 1.205, 2.771","0.224, 1.202, 2.595","-0.231, 1.219, 2.534"
2024-05-08 12:03:29,"-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.106, -0.268, 2.507","-0.093, -0.267, 2.501","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.061, -0.256, 2.517","-0.000, -0.000, 0.000","-0.101, -0.200, 2.545","-0.000, -0.000, 0.000","0.076, -0.057, 2.567","-0.223, -0.056, 2.523","0.100, 0.189, 2.507","-0.398, 0.047, 2.481","0.100, 0.395, 2.507","-0.605, 0.069, 2.578","0.115, 0.481, 2.550","-0.000, 0.000, 0.000","0.102, 0.479, 2.539","-0.000, 0.000, 0.000","0.088, 0.449, 2.517","-0.650, 0.057, 2.624","0.004, 0.432, 2.496","-0.171, 0.430, 2.523","0.037, 0.779, 2.583","-0.198, 0.772, 2.539","0.129, 1.207, 2.858","-0.265, 1.195, 2.831","0.099, 1.255, 2.851","-0.251, 1.193, 2.758","0.224, 1.202, 2.595","-0.230, 1.210, 2.528"
2024-05-08 12:03:29,"-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.106, -0.268, 2.507","-0.092, -0.267, 2.496","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.061, -0.255, 2.512","-0.000, -0.000, 0.000","-0.100, -0.199, 2.534","-0.000, -0.000, 0.000","0.076, -0.056, 2.561","-0.223, -0.056, 2.523","0.094, 0.189, 2.507","-0.396, 0.047, 2.470","0.101, 0.398, 2.523","-0.608, 0.069, 2.589","0.115, 0.481, 2.550","-0.000, 0.000, 0.000","0.102, 0.479, 2.539","-0.000, 0.000, 0.000","0.088, 0.452, 2.534","-0.654, 0.064, 2.641","0.004, 0.425, 2.491","-0.170, 0.428, 2.507","0.037, 0.772, 2.561","-0.199, 0.774, 2.545","0.129, 1.209, 2.865","-0.262, 1.181, 2.797","0.099, 1.252, 2.844","-0.250, 1.187, 2.745","0.222, 1.191, 2.572","-0.237, 1.215, 2.539"
2024-05-08 12:03:29,"-0.000, -0.000, 0.000","-0.119, -0.262, 2.512","-0.105, -0.267, 2.501","-0.092, -0.267, 2.496","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.061, -0.256, 2.517","-0.000, -0.000, 0.000","-0.101, -0.200, 2.550","-0.000, -0.000, 0.000","0.076, -0.056, 2.556","-0.223, -0.056, 2.528","0.094, 0.189, 2.501","-0.399, 0.047, 2.491","0.101, 0.406, 2.534","-0.000, 0.000, 0.000","0.116, 0.489, 2.561","-0.000, 0.000, 0.000","0.102, 0.487, 2.550","-0.000, 0.000, 0.000","0.088, 0.457, 2.528","-0.641, 0.063, 2.618","0.004, 0.422, 2.475","-0.169, 0.424, 2.486","0.043, 0.775, 2.572","-0.199, 0.774, 2.545","0.129, 1.207, 2.858","-0.265, 1.198, 2.837","0.099, 1.246, 2.831","-0.252, 1.196, 2.765","0.223, 1.199, 2.589","-0.237, 1.215, 2.539"
2024-05-08 12:03:29,"-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.105, -0.267, 2.501","-0.092, -0.267, 2.496","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.061, -0.256, 2.517","-0.000, -0.000, 0.000","-0.101, -0.201, 2.556","-0.000, -0.000, 0.000","0.076, -0.056, 2.550","-0.223, -0.056, 2.523","0.094, 0.189, 2.501","-0.398, 0.047, 2.481","0.101, 0.404, 2.523","-0.595, 0.075, 2.561","0.115, 0.487, 2.550","-0.000, 0.000, 0.000","0.102, 0.486, 2.545","-0.000, 0.000, 0.000","0.088, 0.458, 2.534","-0.651, 0.064, 2.629","0.004, 0.424, 2.486","-0.170, 0.428, 2.507","0.043, 0.775, 2.572","-0.199, 0.775, 2.550","0.129, 1.209, 2.865","-0.263, 1.189, 2.817","0.099, 1.249, 2.837","-0.251, 1.193, 2.758","0.224, 1.202, 2.595","-0.237, 1.213, 2.534"
2024-05-08 12:03:29,"-0.000, -0.000, 0.000","-0.119, -0.262, 2.512","-0.106, -0.268, 2.507","-0.093, -0.267, 2.501","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.061, -0.256, 2.517","-0.000, -0.000, 0.000","-0.101, -0.201, 2.556","-0.000, -0.000, 0.000","0.076, -0.057, 2.567","-0.222, -0.055, 2.512","0.094, 0.190, 2.512","-0.397, 0.047, 2.475","0.101, 0.403, 2.517","-0.591, 0.068, 2.545","0.115, 0.486, 2.545","-0.000, 0.000, 0.000","0.108, 0.486, 2.545","-0.000, 0.000, 0.000","0.088, 0.457, 2.528","-0.650, 0.063, 2.624","0.004, 0.425, 2.491","-0.170, 0.428, 2.507","0.044, 0.782, 2.595","-0.199, 0.775, 2.550","0.129, 1.209, 2.865","-0.263, 1.189, 2.817","0.099, 1.249, 2.837","-0.251, 1.193, 2.758","0.223, 1.199, 2.589","-0.239, 1.221, 2.550"
