Frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32
2024-05-08 12:04:22,"-0.016, -0.233, 2.545","0.004, -0.263, 2.523","0.017, -0.262, 2.517","0.029, -0.261, 2.501","-0.029, -0.265, 2.545","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.055, -0.248, 2.501","-0.000, -0.000, 0.000","0.010, -0.198, 2.523","-0.000, -0.000, 0.000","0.147, -0.043, 2.528","-0.162, -0.077, 2.583","0.181, 0.213, 2.561","-0.382, -0.011, 2.635","0.193, 0.387, 2.539","-0.348, -0.190, 2.583","0.185, 0.456, 2.523","-0.000, -0.000, 0.000","0.172, 0.464, 2.528","-0.308, -0.228, 2.430","0.166, 0.438, 2.528","-0.303, -0.208, 2.486","0.055, 0.445, 2.496","-0.120, 0.447, 2.545","0.084, 0.794, 2.589","-0.164, 0.808, 2.612","0.137, 1.205, 2.872","-0.247, 1.193, 2.791","0.108, 1.260, 2.879","-0.242, 1.203, 2.733","0.224, 1.204, 2.600","-0.234, 1.206, 2.507"
2024-05-08 12:04:22,"-0.000, -0.000, 0.000","0.004, -0.263, 2.523","0.017, -0.262, 2.517","0.029, -0.261, 2.507","-0.029, -0.265, 2.539","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.055, -0.248, 2.507","-0.000, -0.000, 0.000","0.017, -0.199, 2.528","-0.000, -0.000, 0.000","0.148, -0.037, 2.561","-0.162, -0.077, 2.583","0.181, 0.226, 2.561","-0.000, -0.000, 0.000","0.179, 0.418, 2.528","-0.347, -0.196, 2.578","0.179, 0.496, 2.528","-0.000, -0.000, 0.000","0.160, 0.505, 2.539","-0.309, -0.229, 2.435","0.153, 0.478, 2.534","-0.302, -0.208, 2.481","0.061, 0.443, 2.486","-0.120, 0.446, 2.539","0.085, 0.809, 2.618","-0.163, 0.806, 2.606","0.137, 1.209, 2.865","-0.245, 1.187, 2.777","0.106, 1.243, 2.824","-0.242, 1.205, 2.739","0.225, 1.210, 2.612","-0.235, 1.211, 2.517"
2024-05-08 12:04:22,"-0.016, -0.231, 2.528","0.004, -0.262, 2.517","0.017, -0.262, 2.512","0.029, -0.261, 2.501","-0.029, -0.265, 2.539","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.055, -0.248, 2.501","-0.000, -0.000, 0.000","0.017, -0.199, 2.534","-0.000, -0.000, 0.000","0.152, -0.036, 2.517","-0.162, -0.077, 2.578","0.181, 0.233, 2.561","-0.000, -0.000, 0.000","0.172, 0.429, 2.517","-0.349, -0.197, 2.589","0.172, 0.509, 2.528","-0.000, -0.000, 0.000","0.153, 0.510, 2.534","-0.310, -0.229, 2.440","0.153, 0.491, 2.534","-0.305, -0.210, 2.507","0.061, 0.451, 2.496","-0.120, 0.452, 2.534","0.085, 0.816, 2.618","-0.171, 0.811, 2.624","0.136, 1.207, 2.858","-0.246, 1.190, 2.784","0.099, 1.246, 2.831","-0.243, 1.208, 2.745","0.224, 1.204, 2.600","-0.235, 1.209, 2.512"
2024-05-08 12:04:22,"-0.000, -0.000, 0.000","0.004, -0.262, 2.517","0.017, -0.262, 2.512","0.029, -0.261, 2.501","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.055, -0.248, 2.501","-0.000, -0.000, 0.000","0.017, -0.198, 2.517","-0.000, -0.000, 0.000","0.154, -0.037, 2.545","-0.162, -0.077, 2.583","0.182, 0.233, 2.567","-0.000, -0.000, 0.000","0.172, 0.431, 2.528","-0.347, -0.196, 2.578","0.173, 0.511, 2.539","-0.000, -0.000, 0.000","0.154, 0.513, 2.550","-0.308, -0.228, 2.425","0.148, 0.495, 2.556","-0.303, -0.208, 2.486","0.061, 0.452, 2.501","-0.121, 0.456, 2.561","0.084, 0.809, 2.595","-0.171, 0.809, 2.618","0.136, 1.204, 2.851","-0.248, 1.198, 2.804","0.099, 1.255, 2.851","-0.243, 1.211, 2.752","0.225, 1.210, 2.612","-0.234, 1.203, 2.501"
2024-05-08 12:04:22,"-0.000, -0.000, 0.000","0.004, -0.264, 2.534","0.017, -0.263, 2.528","0.030, -0.262, 2.517","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.055, -0.248, 2.507","-0.000, -0.000, 0.000","0.017, -0.199, 2.528","-0.000, -0.000, 0.000","0.154, -0.037, 2.545","-0.162, -0.077, 2.578","0.181, 0.232, 2.550","-0.000, -0.000, 0.000","0.172, 0.429, 2.517","-0.346, -0.202, 2.572","0.174, 0.512, 2.545","-0.000, -0.000, 0.000","0.154, 0.513, 2.550","-0.310, -0.229, 2.440","0.147, 0.493, 2.545","-0.304, -0.209, 2.496","0.061, 0.449, 2.486","-0.121, 0.454, 2.550","0.084, 0.811, 2.600","-0.171, 0.809, 2.618","0.136, 1.204, 2.851","-0.246, 1.190, 2.784","0.098, 1.243, 2.824","-0.243, 1.215, 2.745","0.224, 1.204, 2.600","-0.235, 1.211, 2.517"
2024-05-08 12:04:22,"-0.016, -0.232, 2.539","0.004, -0.263, 2.528","0.017, -0.263, 2.523","0.029, -0.262, 2.512","-0.029, -0.265, 2.545","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.055, -0.249, 2.512","-0.000, -0.000, 0.000","0.017, -0.199, 2.539","-0.000, -0.000, 0.000","0.154, -0.036, 2.539","-0.155, -0.077, 2.583","0.182, 0.233, 2.567","-0.000, -0.000, 0.000","0.172, 0.437, 2.523","-0.346, -0.202, 2.567","0.173, 0.518, 2.539","-0.000, -0.000, 0.000","0.154, 0.520, 2.550","-0.311, -0.230, 2.450","0.147, 0.498, 2.539","-0.303, -0.208, 2.491","0.061, 0.451, 2.496","-0.120, 0.453, 2.539","0.084, 0.811, 2.600","-0.171, 0.811, 2.624","0.137, 1.209, 2.865","-0.246, 1.190, 2.784","0.099, 1.249, 2.837","-0.242, 1.210, 2.733","0.224, 1.204, 2.600","-0.236, 1.214, 2.523"
2024-05-08 12:04:22,"-0.000, -0.000, 0.000","0.004, -0.263, 2.523","0.017, -0.262, 2.517","0.029, -0.261, 2.501","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.055, -0.248, 2.501","-0.000, -0.000, 0.000","0.017, -0.199, 2.534","-0.000, -0.000, 0.000","0.153, -0.036, 2.523","-0.155, -0.077, 2.583","0.181, 0.239, 2.556","-0.000, -0.000, 0.000","0.172, 0.436, 2.517","-0.346, -0.202, 2.572","0.167, 0.519, 2.545","-0.000, -0.000, 0.000","0.154, 0.519, 2.545","-0.310, -0.229, 2.440","0.147, 0.499, 2.545","-0.310, -0.215, 2.496","0.061, 0.457, 2.491","-0.121, 0.454, 2.550","0.084, 0.809, 2.595","-0.171, 0.809, 2.618","0.137, 1.209, 2.865","-0.247, 1.193, 2.791","0.099, 1.255, 2.851","-0.242, 1.213, 2.739","0.225, 1.210, 2.612","-0.235, 1.211, 2.517"
2024-05-08 12:04:22,"-0.000, -0.000, 0.000","0.004, -0.264, 2.534","0.017, -0.263, 2.523","0.029, -0.262, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.055, -0.249, 2.512","-0.000, -0.000, 0.000","0.017, -0.198, 2.523","-0.000, -0.000, 0.000","0.153, -0.036, 2.534","-0.155, -0.070, 2.578","0.181, 0.239, 2.556","-0.000, -0.000, 0.000","0.172, 0.437, 2.523","-0.346, -0.202, 2.572","0.166, 0.514, 2.523","-0.000, -0.000, 0.000","0.153, 0.515, 2.528","-0.316, -0.229, 2.440","0.147, 0.497, 2.534","-0.310, -0.215, 2.496","0.062, 0.461, 2.512","-0.120, 0.454, 2.545","0.084, 0.812, 2.606","-0.172, 0.813, 2.629","0.137, 1.223, 2.879","-0.247, 1.195, 2.797","0.100, 1.258, 2.858","-0.242, 1.210, 2.733","0.225, 1.210, 2.612","-0.235, 1.209, 2.512"
2024-05-08 12:04:22,"-0.016, -0.232, 2.534","0.004, -0.263, 2.528","0.017, -0.262, 2.517","0.036, -0.261, 2.507","-0.029, -0.266, 2.550","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.055, -0.248, 2.507","-0.000, -0.000, 0.000","0.017, -0.198, 2.517","-0.000, -0.000, 0.000","0.155, -0.037, 2.556","-0.155, -0.070, 2.578","0.187, 0.238, 2.550","-0.000, -0.000, 0.000","0.172, 0.438, 2.528","-0.346, -0.202, 2.572","0.166, 0.514, 2.523","-0.000, -0.000, 0.000","0.153, 0.515, 2.528","-0.323, -0.230, 2.445","0.147, 0.497, 2.534","-0.317, -0.216, 2.501","0.062, 0.461, 2.512","-0.120, 0.454, 2.545","0.083, 0.805, 2.583","-0.171, 0.809, 2.618","0.137, 1.220, 2.872","-0.247, 1.195, 2.797","0.099, 1.255, 2.851","-0.242, 1.213, 2.739","0.225, 1.210, 2.612","-0.236, 1.216, 2.528"
2024-05-08 12:04:22,"-0.000, -0.000, 0.000","0.004, -0.264, 2.534","0.017, -0.263, 2.523","0.036, -0.261, 2.507","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.055, -0.248, 2.507","-0.000, -0.000, 0.000","0.017, -0.199, 2.528","-0.000, -0.000, 0.000","0.154, -0.037, 2.550","-0.155, -0.070, 2.572","0.181, 0.239, 2.556","-0.000, -0.000, 0.000","0.172, 0.437, 2.523","-0.357, -0.205, 2.606","0.166, 0.515, 2.528","-0.000, -0.000, 0.000","0.153, 0.517, 2.534","-0.318, -0.232, 2.405","0.147, 0.498, 2.539","-0.317, -0.216, 2.501","0.061, 0.457, 2.491","-0.121, 0.454, 2.550","0.084, 0.811, 2.600","-0.171, 0.811, 2.624","0.136, 1.214, 2.858","-0.247, 1.193, 2.791","0.099, 1.255, 2.851","-0.242, 1.213, 2.739","0.225, 1.207, 2.606","-0.235, 1.209, 2.512"
