Frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32
2024-05-08 12:02:49,"-0.022, -0.202, 2.491","-0.009, -0.239, 2.475","0.004, -0.232, 2.470","0.010, -0.232, 2.465","-0.041, -0.234, 2.496","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.023, -0.225, 2.465","-0.000, -0.000, 0.000","-0.009, -0.166, 2.523","-0.056, -0.169, 2.567","0.116, -0.050, 2.578","-0.000, -0.000, 0.000","0.127, 0.217, 2.534","-0.249, 0.197, 2.523","0.161, 0.415, 2.550","-0.299, 0.451, 2.567","0.161, 0.500, 2.550","-0.303, 0.526, 2.486","0.148, 0.500, 2.550","-0.294, 0.529, 2.470","0.141, 0.473, 2.545","-0.284, 0.502, 2.491","0.043, 0.450, 2.523","-0.158, 0.443, 2.523","0.056, 0.782, 2.550","-0.172, 0.772, 2.539","0.095, 1.206, 2.929","-0.238, 1.172, 2.777","0.071, 1.230, 2.879","-0.226, 1.188, 2.714","0.105, 1.242, 2.624","-0.230, 1.214, 2.523"
2024-05-08 12:02:50,"-0.028, -0.202, 2.496","-0.009, -0.240, 2.486","0.004, -0.239, 2.475","0.010, -0.232, 2.470","-0.041, -0.242, 2.507","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.023, -0.225, 2.465","-0.000, -0.000, 0.000","-0.009, -0.171, 2.507","-0.000, -0.000, 0.000","0.116, -0.050, 2.578","-0.000, -0.000, 0.000","0.127, 0.223, 2.523","-0.249, 0.203, 2.523","0.154, 0.413, 2.539","-0.300, 0.452, 2.572","0.161, 0.501, 2.556","-0.000, 0.000, 0.000","0.148, 0.508, 2.556","-0.000, 0.000, 0.000","0.141, 0.480, 2.545","-0.284, 0.501, 2.486","0.042, 0.426, 2.501","-0.152, 0.431, 2.528","0.056, 0.779, 2.561","-0.166, 0.772, 2.539","0.094, 1.211, 2.921","-0.238, 1.170, 2.771","0.071, 1.241, 2.886","-0.226, 1.188, 2.714","0.104, 1.234, 2.606","-0.230, 1.214, 2.523"
2024-05-08 12:02:50,"-0.028, -0.208, 2.486","-0.009, -0.239, 2.481","0.004, -0.238, 2.470","0.010, -0.238, 2.470","-0.041, -0.242, 2.507","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.023, -0.225, 2.465","-0.000, -0.000, 0.000","-0.009, -0.171, 2.501","-0.000, -0.000, 0.000","0.116, -0.050, 2.578","-0.000, -0.000, 0.000","0.128, 0.224, 2.539","-0.248, 0.209, 2.512","0.154, 0.413, 2.539","-0.297, 0.454, 2.550","0.161, 0.499, 2.545","-0.000, 0.000, 0.000","0.140, 0.504, 2.534","-0.294, 0.528, 2.465","0.134, 0.478, 2.534","-0.282, 0.498, 2.475","0.042, 0.428, 2.507","-0.153, 0.435, 2.550","0.056, 0.770, 2.534","-0.167, 0.777, 2.556","0.094, 1.218, 2.921","-0.238, 1.170, 2.771","0.070, 1.232, 2.865","-0.233, 1.190, 2.720","0.105, 1.245, 2.629","-0.231, 1.219, 2.534"
2024-05-08 12:02:50,"-0.028, -0.208, 2.481","-0.009, -0.239, 2.481","0.004, -0.239, 2.475","0.010, -0.238, 2.465","-0.048, -0.242, 2.507","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.023, -0.232, 2.465","-0.000, -0.000, 0.000","-0.009, -0.176, 2.491","-0.000, -0.000, 0.000","0.116, -0.043, 2.572","-0.000, -0.000, 0.000","0.128, 0.224, 2.539","-0.248, 0.209, 2.512","0.147, 0.414, 2.545","-0.299, 0.456, 2.561","0.154, 0.500, 2.550","-0.000, 0.000, 0.000","0.141, 0.507, 2.550","-0.000, 0.000, 0.000","0.134, 0.478, 2.534","-0.281, 0.496, 2.465","0.042, 0.426, 2.501","-0.146, 0.433, 2.539","0.056, 0.772, 2.539","-0.167, 0.779, 2.561","0.093, 1.206, 2.893","-0.238, 1.170, 2.771","0.070, 1.226, 2.851","-0.234, 1.193, 2.726","0.104, 1.237, 2.612","-0.229, 1.209, 2.512"
2024-05-08 12:02:50,"-0.028, -0.208, 2.491","-0.009, -0.239, 2.481","0.004, -0.239, 2.475","0.010, -0.238, 2.470","-0.048, -0.243, 2.517","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.023, -0.232, 2.465","-0.000, -0.000, 0.000","-0.009, -0.177, 2.501","-0.000, -0.000, 0.000","0.116, -0.043, 2.567","-0.000, -0.000, 0.000","0.127, 0.224, 2.534","-0.247, 0.215, 2.501","0.140, 0.418, 2.528","-0.297, 0.454, 2.545","0.154, 0.500, 2.550","-0.000, 0.000, 0.000","0.141, 0.506, 2.545","-0.291, 0.524, 2.445","0.127, 0.484, 2.534","-0.283, 0.500, 2.481","0.042, 0.428, 2.512","-0.145, 0.429, 2.517","0.056, 0.774, 2.545","-0.166, 0.775, 2.550","0.093, 1.206, 2.893","-0.239, 1.175, 2.784","0.070, 1.226, 2.851","-0.234, 1.193, 2.726","0.104, 1.237, 2.612","-0.231, 1.222, 2.539"
2024-05-08 12:02:50,"-0.028, -0.208, 2.486","-0.009, -0.239, 2.481","-0.003, -0.239, 2.475","0.010, -0.238, 2.470","-0.048, -0.242, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.023, -0.232, 2.470","-0.000, -0.000, 0.000","-0.009, -0.177, 2.496","-0.060, -0.175, 2.475","0.116, -0.043, 2.567","-0.000, -0.000, 0.000","0.128, 0.224, 2.539","-0.248, 0.209, 2.512","0.141, 0.421, 2.545","-0.300, 0.458, 2.572","0.154, 0.499, 2.545","-0.000, 0.000, 0.000","0.141, 0.506, 2.545","-0.290, 0.522, 2.435","0.127, 0.482, 2.523","-0.282, 0.497, 2.470","0.042, 0.428, 2.507","-0.145, 0.429, 2.517","0.056, 0.779, 2.561","-0.166, 0.775, 2.550","0.094, 1.209, 2.900","-0.238, 1.172, 2.777","0.070, 1.229, 2.858","-0.234, 1.193, 2.726","0.105, 1.242, 2.624","-0.230, 1.216, 2.528"
2024-05-08 12:02:50,"-0.028, -0.208, 2.486","-0.009, -0.239, 2.475","-0.003, -0.238, 2.470","0.010, -0.238, 2.465","-0.048, -0.242, 2.507","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.023, -0.232, 2.465","-0.000, -0.000, 0.000","-0.009, -0.177, 2.496","-0.059, -0.174, 2.455","0.116, -0.044, 2.578","-0.000, -0.000, 0.000","0.121, 0.223, 2.528","-0.247, 0.215, 2.507","0.140, 0.418, 2.528","-0.300, 0.458, 2.572","0.155, 0.508, 2.556","-0.000, 0.000, 0.000","0.142, 0.509, 2.561","-0.292, 0.525, 2.450","0.128, 0.487, 2.550","-0.284, 0.501, 2.486","0.042, 0.426, 2.501","-0.146, 0.433, 2.539","0.056, 0.782, 2.550","-0.166, 0.782, 2.550","0.095, 1.221, 2.929","-0.238, 1.170, 2.771","0.070, 1.232, 2.865","-0.234, 1.186, 2.726","0.104, 1.237, 2.612","-0.230, 1.216, 2.528"
2024-05-08 12:02:50,"-0.028, -0.209, 2.501","-0.009, -0.239, 2.475","-0.003, -0.238, 2.465","0.010, -0.237, 2.455","-0.048, -0.243, 2.517","-0.061, -0.250, 2.528","-0.000, -0.000, 0.000","0.023, -0.225, 2.460","-0.000, -0.000, 0.000","-0.009, -0.177, 2.496","-0.060, -0.175, 2.475","0.116, -0.043, 2.572","-0.000, -0.000, 0.000","0.121, 0.223, 2.528","-0.248, 0.209, 2.517","0.140, 0.418, 2.528","-0.298, 0.449, 2.556","0.154, 0.499, 2.545","-0.000, 0.000, 0.000","0.141, 0.507, 2.550","-0.000, 0.000, 0.000","0.128, 0.485, 2.539","-0.282, 0.498, 2.475","0.042, 0.428, 2.507","-0.145, 0.429, 2.517","0.056, 0.784, 2.556","-0.167, 0.779, 2.561","0.094, 1.215, 2.914","-0.247, 1.181, 2.797","0.070, 1.232, 2.865","-0.235, 1.191, 2.739","0.104, 1.234, 2.606","-0.231, 1.222, 2.539"
2024-05-08 12:02:50,"-0.028, -0.209, 2.496","-0.009, -0.239, 2.475","-0.003, -0.238, 2.470","0.010, -0.238, 2.465","-0.048, -0.242, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.023, -0.226, 2.470","-0.000, -0.000, 0.000","-0.009, -0.176, 2.491","-0.060, -0.176, 2.486","0.116, -0.043, 2.567","-0.000, -0.000, 0.000","0.120, 0.223, 2.523","-0.248, 0.209, 2.512","0.140, 0.425, 2.528","-0.298, 0.449, 2.556","0.155, 0.508, 2.556","-0.000, 0.000, 0.000","0.142, 0.508, 2.556","-0.000, 0.000, 0.000","0.127, 0.484, 2.534","-0.281, 0.490, 2.465","0.042, 0.426, 2.496","-0.146, 0.432, 2.534","0.057, 0.789, 2.572","-0.167, 0.777, 2.556","0.094, 1.218, 2.921","-0.248, 1.184, 2.804","0.071, 1.238, 2.879","-0.235, 1.189, 2.733","0.098, 1.245, 2.629","-0.229, 1.211, 2.517"
2024-05-08 12:02:50,"-0.028, -0.209, 2.496","-0.009, -0.238, 2.470","-0.003, -0.238, 2.465","0.010, -0.237, 2.460","-0.048, -0.242, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","0.023, -0.225, 2.465","-0.000, -0.000, 0.000","-0.009, -0.177, 2.496","-0.060, -0.176, 2.486","0.117, -0.044, 2.589","-0.000, -0.000, 0.000","0.121, 0.223, 2.528","-0.249, 0.210, 2.523","0.140, 0.425, 2.528","-0.297, 0.448, 2.550","0.155, 0.509, 2.561","-0.000, 0.000, 0.000","0.142, 0.508, 2.556","-0.000, 0.000, 0.000","0.128, 0.486, 2.545","-0.284, 0.494, 2.486","0.042, 0.426, 2.501","-0.146, 0.431, 2.528","0.056, 0.778, 2.539","-0.167, 0.777, 2.556","0.095, 1.221, 2.929","-0.247, 1.181, 2.797","0.071, 1.238, 2.879","-0.234, 1.186, 2.726","0.098, 1.240, 2.618","-0.230, 1.214, 2.523"
