Frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32
2024-05-08 12:04:00,"0.055, -0.217, 2.512","0.062, -0.249, 2.512","0.074, -0.248, 2.507","0.081, -0.248, 2.501","0.036, -0.257, 2.528","0.023, -0.259, 2.545","0.010, -0.261, 2.567","0.068, -0.235, 2.501","-0.000, -0.000, 0.000","0.056, -0.179, 2.534","0.023, -0.188, 2.561","0.090, -0.037, 2.583","-0.139, -0.062, 2.523","0.081, 0.209, 2.507","-0.131, 0.202, 2.501","0.143, 0.387, 2.583","-0.154, 0.437, 2.561","0.158, 0.471, 2.606","-0.161, 0.505, 2.572","0.158, 0.471, 2.606","-0.139, 0.496, 2.528","0.143, 0.454, 2.583","-0.131, 0.471, 2.501","0.016, 0.463, 2.491","-0.124, 0.462, 2.486","0.044, 0.792, 2.583","-0.167, 0.784, 2.556","0.122, 1.212, 2.872","-0.257, 1.192, 2.824","0.083, 1.244, 2.810","-0.259, 1.196, 2.765","0.227, 1.186, 2.561","-0.217, 1.210, 2.528"
2024-05-08 12:04:00,"0.055, -0.222, 2.501","0.062, -0.255, 2.507","0.068, -0.254, 2.501","0.074, -0.247, 2.496","0.030, -0.258, 2.539","0.017, -0.260, 2.556","0.004, -0.269, 2.578","0.068, -0.234, 2.496","-0.000, -0.000, 0.000","0.055, -0.184, 2.507","0.023, -0.187, 2.545","0.090, -0.030, 2.578","-0.139, -0.062, 2.528","0.088, 0.216, 2.512","-0.163, 0.202, 2.501","0.143, 0.407, 2.578","-0.165, 0.437, 2.523","0.165, 0.493, 2.618","-0.180, 0.509, 2.561","0.165, 0.493, 2.618","-0.145, 0.501, 2.523","0.143, 0.461, 2.589","-0.137, 0.477, 2.496","0.016, 0.461, 2.481","-0.123, 0.457, 2.460","0.043, 0.790, 2.578","-0.167, 0.790, 2.556","0.122, 1.209, 2.865","-0.258, 1.195, 2.831","0.083, 1.244, 2.810","-0.259, 1.203, 2.765","0.228, 1.191, 2.572","-0.218, 1.215, 2.539"
2024-05-08 12:04:00,"0.049, -0.223, 2.507","0.055, -0.255, 2.512","0.068, -0.255, 2.507","0.074, -0.248, 2.501","0.030, -0.258, 2.534","0.017, -0.266, 2.550","-0.003, -0.268, 2.572","0.068, -0.234, 2.496","-0.000, -0.000, 0.000","0.055, -0.184, 2.507","0.017, -0.194, 2.550","0.090, -0.030, 2.578","-0.139, -0.062, 2.534","0.095, 0.217, 2.528","-0.177, 0.202, 2.507","0.143, 0.407, 2.578","-0.178, 0.439, 2.534","0.165, 0.493, 2.618","-0.000, 0.000, 0.000","0.165, 0.500, 2.618","-0.158, 0.508, 2.523","0.150, 0.462, 2.595","-0.151, 0.479, 2.507","0.016, 0.459, 2.470","-0.130, 0.459, 2.470","0.043, 0.782, 2.550","-0.166, 0.787, 2.545","0.130, 1.212, 2.872","-0.254, 1.181, 2.797","0.092, 1.252, 2.844","-0.259, 1.196, 2.765","0.228, 1.191, 2.572","-0.217, 1.210, 2.528"
2024-05-08 12:04:00,"0.042, -0.224, 2.517","0.055, -0.256, 2.517","0.062, -0.255, 2.512","0.074, -0.248, 2.507","0.023, -0.259, 2.545","0.010, -0.266, 2.556","-0.003, -0.268, 2.567","0.068, -0.235, 2.501","-0.000, -0.000, 0.000","0.055, -0.184, 2.512","0.017, -0.193, 2.545","0.090, -0.030, 2.578","-0.000, -0.000, 0.000","0.096, 0.220, 2.561","-0.184, 0.210, 2.523","0.142, 0.405, 2.567","-0.187, 0.442, 2.556","0.165, 0.492, 2.612","-0.000, 0.000, 0.000","0.165, 0.492, 2.612","-0.165, 0.509, 2.528","0.149, 0.458, 2.572","-0.158, 0.487, 2.517","0.016, 0.461, 2.481","-0.129, 0.456, 2.455","0.043, 0.789, 2.572","-0.167, 0.792, 2.561","0.130, 1.212, 2.872","-0.255, 1.184, 2.804","0.091, 1.246, 2.831","-0.258, 1.193, 2.758","0.234, 1.189, 2.567","-0.217, 1.210, 2.528"
2024-05-08 12:04:01,"0.043, -0.224, 2.523","0.055, -0.255, 2.512","0.062, -0.255, 2.507","0.068, -0.248, 2.507","0.017, -0.259, 2.550","0.004, -0.267, 2.561","-0.009, -0.269, 2.578","0.068, -0.234, 2.496","-0.000, -0.000, 0.000","0.049, -0.186, 2.534","0.010, -0.195, 2.567","0.090, -0.030, 2.583","-0.139, -0.056, 2.523","0.095, 0.217, 2.534","-0.190, 0.209, 2.517","0.143, 0.413, 2.578","-0.189, 0.432, 2.496","0.166, 0.501, 2.624","-0.000, 0.000, 0.000","0.166, 0.501, 2.624","-0.164, 0.505, 2.507","0.151, 0.463, 2.600","-0.156, 0.480, 2.481","0.016, 0.461, 2.481","-0.128, 0.454, 2.440","0.050, 0.787, 2.567","-0.167, 0.797, 2.556","0.130, 1.215, 2.879","-0.257, 1.192, 2.824","0.091, 1.237, 2.810","-0.260, 1.201, 2.777","0.235, 1.191, 2.572","-0.218, 1.215, 2.539"
2024-05-08 12:04:01,"0.036, -0.224, 2.523","0.049, -0.255, 2.512","0.061, -0.254, 2.501","0.068, -0.247, 2.496","0.017, -0.259, 2.550","0.004, -0.268, 2.567","-0.009, -0.269, 2.578","0.061, -0.235, 2.501","-0.000, -0.000, 0.000","0.049, -0.186, 2.528","0.004, -0.195, 2.567","0.090, -0.024, 2.589","-0.000, -0.000, 0.000","0.094, 0.216, 2.523","-0.190, 0.209, 2.517","0.143, 0.413, 2.578","-0.188, 0.430, 2.486","0.166, 0.501, 2.624","-0.000, 0.000, 0.000","0.166, 0.501, 2.624","-0.163, 0.502, 2.491","0.151, 0.463, 2.600","-0.161, 0.478, 2.470","0.016, 0.463, 2.491","-0.128, 0.454, 2.440","0.050, 0.787, 2.567","-0.174, 0.800, 2.567","0.130, 1.215, 2.879","-0.255, 1.184, 2.804","0.092, 1.252, 2.844","-0.268, 1.204, 2.784","0.236, 1.199, 2.589","-0.223, 1.210, 2.528"
2024-05-08 12:04:01,"0.036, -0.224, 2.517","0.049, -0.255, 2.512","0.055, -0.255, 2.507","0.067, -0.246, 2.486","0.017, -0.259, 2.545","0.004, -0.267, 2.561","-0.016, -0.268, 2.572","0.061, -0.233, 2.481","-0.000, -0.000, 0.000","0.043, -0.186, 2.539","0.004, -0.195, 2.567","0.090, -0.024, 2.589","-0.145, -0.056, 2.523","0.102, 0.218, 2.539","-0.190, 0.209, 2.512","0.142, 0.412, 2.572","-0.195, 0.432, 2.496","0.166, 0.501, 2.624","-0.000, 0.000, 0.000","0.166, 0.501, 2.624","-0.169, 0.502, 2.491","0.150, 0.468, 2.589","-0.161, 0.478, 2.470","0.017, 0.465, 2.501","-0.128, 0.453, 2.435","0.057, 0.795, 2.572","-0.174, 0.800, 2.567","0.129, 1.209, 2.865","-0.255, 1.184, 2.804","0.092, 1.255, 2.851","-0.266, 1.198, 2.771","0.234, 1.189, 2.567","-0.224, 1.213, 2.534"
2024-05-08 12:04:01,"0.030, -0.224, 2.528","0.043, -0.256, 2.523","0.055, -0.255, 2.507","0.061, -0.248, 2.501","0.017, -0.259, 2.550","-0.003, -0.268, 2.567","-0.016, -0.269, 2.578","0.061, -0.234, 2.491","-0.000, -0.000, 0.000","0.043, -0.186, 2.534","0.004, -0.194, 2.556","0.090, -0.024, 2.578","-0.152, -0.056, 2.534","0.102, 0.220, 2.561","-0.198, 0.211, 2.534","0.143, 0.413, 2.578","-0.195, 0.432, 2.496","0.165, 0.500, 2.618","-0.000, 0.000, 0.000","0.165, 0.500, 2.618","-0.169, 0.502, 2.491","0.150, 0.469, 2.595","-0.168, 0.479, 2.475","0.023, 0.458, 2.496","-0.128, 0.447, 2.440","0.057, 0.797, 2.578","-0.175, 0.808, 2.572","0.128, 1.201, 2.844","-0.264, 1.192, 2.824","0.098, 1.240, 2.817","-0.265, 1.200, 2.758","0.235, 1.191, 2.572","-0.225, 1.218, 2.545"
2024-05-08 12:04:01,"0.029, -0.223, 2.512","0.042, -0.255, 2.507","0.055, -0.254, 2.496","0.061, -0.246, 2.481","0.010, -0.258, 2.539","-0.003, -0.266, 2.550","-0.016, -0.267, 2.561","0.061, -0.232, 2.475","-0.000, -0.000, 0.000","0.043, -0.186, 2.528","-0.003, -0.195, 2.567","0.090, -0.024, 2.583","-0.153, -0.056, 2.550","0.101, 0.223, 2.528","-0.204, 0.210, 2.523","0.143, 0.414, 2.583","-0.201, 0.430, 2.486","0.173, 0.502, 2.629","-0.000, 0.000, 0.000","0.166, 0.501, 2.624","-0.175, 0.502, 2.491","0.151, 0.471, 2.606","-0.168, 0.478, 2.470","0.023, 0.458, 2.496","-0.127, 0.445, 2.425","0.057, 0.795, 2.572","-0.174, 0.805, 2.561","0.129, 1.209, 2.865","-0.265, 1.195, 2.831","0.099, 1.249, 2.837","-0.266, 1.203, 2.765","0.235, 1.191, 2.572","-0.223, 1.210, 2.528"
2024-05-08 12:04:01,"0.029, -0.223, 2.507","0.042, -0.255, 2.507","0.049, -0.254, 2.496","0.055, -0.253, 2.491","0.010, -0.258, 2.539","-0.003, -0.267, 2.561","-0.023, -0.268, 2.572","0.054, -0.232, 2.475","-0.000, -0.000, 0.000","0.036, -0.185, 2.523","-0.003, -0.195, 2.561","0.090, -0.024, 2.595","-0.160, -0.056, 2.550","0.108, 0.224, 2.534","-0.204, 0.210, 2.523","0.143, 0.413, 2.578","-0.204, 0.438, 2.528","0.173, 0.503, 2.635","-0.000, 0.000, 0.000","0.166, 0.509, 2.629","-0.176, 0.504, 2.501","0.151, 0.471, 2.606","-0.169, 0.481, 2.486","0.023, 0.458, 2.496","-0.128, 0.448, 2.445","0.057, 0.799, 2.583","-0.173, 0.803, 2.556","0.129, 1.204, 2.851","-0.262, 1.191, 2.804","0.098, 1.243, 2.824","-0.266, 1.203, 2.765","0.236, 1.197, 2.583","-0.224, 1.215, 2.539"
